기업명,신규상장일,현재가(원),전일비(%),공모가(원),공모가대비등락률(%),시초가(원),시초/공모(%),첫날종가(원)
로보티즈,2018/10/26,"30,250",0.83%,"14,000",116.07%,"28,000",100%,"19,600"
에스퓨얼셀,2018/10/15,"17,320",-2.37%,"16,500",4.97%,"33,000",100%,"33,800"
나우아이비캐피탈,2018/10/04,-,%,"8,500",%,"9,300",9.41%,"7,180"
푸드나무,2018/10/04,"8,120",-2.17%,"24,000",-66.17%,"43,350",80.63%,"34,000"
하나제약(유가),2018/10/02,"14,780",3.36%,"26,000",-43.15%,"30,100",15.77%,"33,150"
크리스에프앤씨,2018/10/01,-,%,"30,000",%,"27,000",-10%,"24,000"
IBKS스팩10호,2018/09/21,-,%,"2,000",%,"2,110",5.5%,"2,110"
지티지웰니스,2018/09/21,-,%,"11,000",%,"15,250",38.64%,-
우진아이엔에스(유가),2018/09/14,-,%,"15,000",%,"15,150",1%,"19,650"
삼성스팩2호,2018/09/13,-,%,"2,000",%,"2,030",1.5%,"2,040"
명성티엔에스,2018/09/13,-,%,"20,000",%,"22,000",10%,"28,600"
디지캡,2018/09/07,-,%,"12,000",%,"13,250",10.42%,"10,900"
대신밸런스스팩5호,2018/08/30,-,%,"2,000",%,"2,050",2.5%,"2,075"
액트로,2018/08/28,"7,260",1.40%,"20,000",-63.7%,"20,700",3.5%,"18,000"
오파스넷,2018/08/24,-,%,"11,000",%,"18,000",63.64%,"14,200"
에이피티씨,2018/08/23,"14,800",-9.98%,"9,000",64.44%,"9,310",3.44%,"7,980"
바이오솔루션,2018/08/20,"10,500",1.84%,"29,000",-63.79%,"28,200",-2.76%,"28,500"
대유,2018/08/10,-,%,"9,000",%,"13,250",47.22%,"12,400"
신한알파리츠(유가),2018/08/08,-,%,"5,000",%,"5,330",6.6%,"5,200"
디아이티,2018/08/07,-,%,"10,000",%,"10,550",5.5%,"10,650"
에스에스알,2018/08/06,"5,130",-1.91%,"9,000",-43%,"18,000",100%,"23,400"
휴네시온,2018/08/02,-,%,"10,000",%,"15,000",50%,"16,350"
티웨이항공(유가),2018/08/01,"2,870",3.42%,"12,000",-76.08%,"11,600",-3.33%,"11,550"
롯데정보통신(유가),2018/07/27,"26,950",0.94%,"29,800",-9.56%,"30,550",2.52%,"29,000"
한국유니온제약,2018/07/26,-,%,"18,000",%,"23,000",27.78%,"19,500"
엠코르셋,2018/07/23,-,%,"11,500",%,"11,050",-3.91%,"12,950"
IBKS스팩9호,2018/07/20,-,%,"2,000",%,"2,250",12.5%,"2,230"
올릭스,2018/07/18,"15,660",-4.80%,"36,000",-56.5%,"72,000",100%,"65,600"
아이큐어,2018/07/12,"2,655",-3.28%,"65,000",-95.92%,"58,500",-10%,"60,600"
에스브이인베스트먼트,2018/07/06,-,%,"7,000",%,"9,000",28.57%,"7,710"
이리츠코크렙기업(유가),2018/06/27,-,%,"5,000",%,"5,010",0.2%,"4,600"
이원다이애그노믹스,2018/06/26,"1,708",-1.16%,"6,500",-73.72%,"9,000",38.46%,"10,800"
하나금융스팩11호,2018/06/08,-,%,"2,000",%,"2,000",0%,"2,000"
파워넷,2018/06/07,"3,415",2.86%,"6,500",-47.46%,"10,100",55.38%,"7,750"
현대사료,2018/06/01,-,%,"6,600",%,"13,200",100%,"17,150"
세종메디칼,2018/05/29,-,%,"15,000",%,"23,100",54%,"30,000"
제노레이,2018/05/28,"6,790",-2.86%,"23,000",-70.48%,"45,900",99.57%,"37,350"
한국스팩7호,2018/05/11,-,%,"2,000",%,"2,000",0%,"1,985"
유안타스팩3호,2018/05/08,-,%,"2,000",%,"1,980",-1%,"1,980"
제이티씨(JTC),2018/04/06,"4,675",7.35%,"8,500",-45%,"14,050",65.29%,"16,300"
대신밸런스스팩3호,2018/04/04,-,%,"2,000",%,"2,005",0.25%,"1,990"
케어랩스,2018/03/28,-,%,"20,000",%,"40,000",100%,"52,000"
애경산업(유가),2018/03/22,"24,450",0.00%,"29,100",-15.98%,"28,000",-3.78%,"34,000"
에코마이스터,2018/03/15,380,0.00%,"5,200",-92.69%,"7,000",34.62%,"6,030"
린드먼아시아인베스트먼트,2018/03/14,-,%,"6,500",%,"13,000",100%,"16,900"
오스테오닉,2018/02/22,"6,800",6.58%,"7,700",-11.69%,"15,400",100%,"13,100"
엔지켐생명과학,2018/02/21,"1,687",0.12%,"56,000",-96.99%,"87,000",55.36%,"85,200"
동구바이오제약,2018/02/13,"5,620",0.36%,"16,000",-64.88%,"32,000",100%,"41,600"
알리코제약,2018/02/12,-,%,"12,000",%,"18,100",50.83%,"23,500"
아시아종묘,2018/02/12,-,%,"4,500",%,"4,520",0.44%,"4,570"
카페24,2018/02/08,"13,330",-1.19%,"57,000",-76.61%,"84,500",48.25%,"84,700"
링크제니시스,2018/02/05,-,%,"30,000",%,"53,000",76.67%,"40,500"
배럴,2018/02/01,-,%,"9,500",%,"10,400",9.47%,"13,500"
에스지이,2018/01/26,-,%,"6,000",%,"5,400",-10%,"5,260"
씨앤지하이테크,2018/01/25,-,%,"16,000",%,"18,600",16.25%,"18,650"
시스웍,2017/12/26,-,%,"2,800",%,"3,810",36.07%,"3,390"
한국스팩6호,2017/12/21,-,%,"2,000",%,"1,965",-1.75%,"1,975"
디바이스이엔지,2017/12/20,-,%,"12,000",%,"10,800",-10%,"12,100"
동부스팩5호,2017/12/12,-,%,"2,000",%,"2,010",0.5%,"1,955"
동양피스톤(유가),2017/12/08,-,%,"5,700",%,"5,130",-10%,"4,845"
진에어(유가),2017/12/08,"15,190",0.53%,"31,800",-52.23%,"31,800",0%,"28,850"
씨티케이코스메틱스,2017/12/07,-,%,"55,000",%,"49,500",-10%,"42,300"
메카로,2017/12/06,-,%,"33,000",%,"43,000",30.3%,"38,500"
에스트래픽,2017/12/05,-,%,"10,000",%,"20,000",100%,"15,000"
체리부로,2017/12/04,-,%,"4,700",%,"5,020",6.81%,"3,980"
대원,2017/12/01,-,%,"15,000",%,"16,000",6.67%,"13,300"
비즈니스온커뮤니케이션,2017/11/30,-,%,"9,000",%,"16,900",87.78%,"14,000"
삼양패키징(유가),2017/11/29,-,%,"26,000",%,"25,750",-0.96%,"23,800"
한화에이스스팩4호,2017/11/27,-,%,"2,000",%,"2,010",0.5%,"1,990"
스튜디오드래곤,2017/11/24,-,%,"35,000",%,"55,300",58%,"71,800"
IBKS스팩7호,2017/11/10,-,%,"2,000",%,"2,030",1.5%,"2,020"
비디아이,2017/11/09,-,%,"10,000",%,"17,600",76%,"16,950"
티슈진,2017/11/06,"9,790",1.98%,"27,000",-63.74%,"52,000",92.59%,"42,700"
테이팩스(유가),2017/10/31,-,%,"23,000",%,"26,600",15.65%,"27,000"
영화테크,2017/10/26,-,%,"12,500",%,"25,000",100%,"32,500"
세원,2017/10/20,-,%,"5,700",%,"8,600",50.88%,"11,150"
신한스팩4호,2017/10/20,-,%,"2,000",%,"2,000",0%,"1,995"
상신전자,2017/10/16,-,%,"13,300",%,"13,300",0%,"22,000"
야스,2017/09/29,"9,460",-2.07%,"23,500",-59.74%,"21,150",-10%,"19,100"
IBKS스팩8호,2017/09/29,-,%,"2,000",%,"2,080",4%,"2,080"
에스엔피월드,2017/09/28,-,%,"5,100",%,"5,100",0%,"5,270"
유티아이,2017/09/27,-,%,"25,000",%,"22,500",-10%,-
신흥에스이씨,2017/09/27,-,%,"16,000",%,"29,400",83.75%,-
선익시스템,2017/09/20,-,%,"37,000",%,"33,300",-10%,"29,750"
엠플러스,2017/09/20,-,%,"18,000",%,"28,350",57.5%,"23,400"
앱클론,2017/09/18,"18,000",0.17%,"10,000",80%,"20,000",100%,"26,000"
샘코,2017/09/15,-,%,"11,000",%,"12,000",9.09%,"10,250"
펄어비스,2017/09/14,"56,400",-2.59%,"103,000",-45.24%,"92,700",-10%,"98,900"
케이피에스,2017/09/06,-,%,"14,000",%,"13,500",-3.57%,"14,000"
덕우전자,2017/08/28,-,%,"15,500",%,"16,900",9.03%,"15,850"
이더블유케이,2017/08/22,-,%,"5,000",%,"10,000",100%,"11,950"
하나금융스팩10호,2017/08/22,-,%,"2,000",%,"2,020",1%,"2,005"
알에스오토메이션,2017/08/11,-,%,"6,000",%,"11,950",99.17%,"15,500"
컬러레이,2017/08/10,-,%,"3,800",%,"3,660",-3.68%,"4,050"
엔에이치스팩12호,2017/08/07,-,%,"2,000",%,"2,040",2%,"2,000"
모트렉스,2017/08/04,-,%,"38,300",%,"38,000",-0.78%,"33,400"
데이타솔루션,2017/08/03,-,%,"3,300",%,"6,600",100%,"5,680"
지니언스,2017/08/02,-,%,"13,500",%,"20,050",48.52%,"15,200"
디앤씨미디어,2017/08/01,-,%,"20,000",%,"32,300",61.5%,"27,300"
셀트리온헬스케어,2017/07/28,"70,500",-2.49%,"41,000",71.95%,"43,650",6.46%,"50,300"
이즈미디어,2017/07/26,-,%,"7,500",%,"8,400",12%,"9,360"
한국스팩5호,2017/07/24,-,%,"2,000",%,"2,020",1%,"2,000"
힘스,2017/07/20,-,%,"20,000",%,"32,500",62.5%,"33,000"
브이원텍,2017/07/13,-,%,"17,700",%,"20,100",13.56%,"18,900"
아우딘퓨쳐스,2017/07/12,-,%,"26,000",%,"23,400",-10%,"23,300"
제일홀딩스,2017/06/30,"7,410",-1.59%,"20,700",-64.2%,"18,650",-9.9%,"19,050"
하나금융스팩9호,2017/06/26,-,%,"2,000",%,"1,955",-2.25%,"1,960"
교보스팩7호,2017/06/22,-,%,"2,000",%,"2,020",1%,"2,005"
한화수성스팩,2017/06/08,-,%,"2,000",%,"2,020",1%,"1,970"
보라티알,2017/06/08,-,%,"14,300",%,"18,900",32.17%,"17,600"
삼양옵틱스,2017/06/02,-,%,"16,700",%,"16,700",0%,"16,800"
IBKS스팩6호,2017/06/01,-,%,"2,000",%,"1,980",-1%,"1,990"
필옵틱스,2017/06/01,-,%,"48,000",%,"48,200",0.42%,"56,000"
미래에셋대우스팩1호,2017/05/26,-,%,"2,000",%,"2,000",0%,"1,980"
넷마블게임즈(유가),2017/05/12,"46,550",-6.15%,"157,000",-70.35%,"165,000",5.1%,"162,000"
ING생명보험(유가),2017/05/11,-,%,"33,000",%,"31,200",-5.45%,"31,600"
한화에이스스팩3호,2017/05/02,-,%,"2,000",%,"2,000",0%,"2,010"
엔에이치스팩10호,2017/05/02,-,%,"2,000",%,"1,995",-0.25%,"1,980"
하나머티리얼즈,2017/04/28,-,%,"12,000",%,"17,500",45.83%,"15,950"
와이엠티,2017/04/27,-,%,"21,000",%,"35,100",67.14%,"31,050"
케이비스팩11호,2017/04/27,-,%,"2,000",%,"2,000",0%,"1,980"
신영스팩3호,2017/04/06,-,%,"2,000",%,"2,000",0%,"2,040"
이엘피,2017/04/06,-,%,"20,000",%,"22,000",10%,"22,400"
서진시스템,2017/03/27,-,%,"25,000",%,"40,000",60%,"37,350"
코미코,2017/03/23,-,%,"13,000",%,"29,050",123.46%,"21,500"
아스타,2017/03/20,-,%,"8,000",%,"9,700",21.25%,"12,600"
덴티움(유가),2017/03/15,"140,400",-0.71%,"32,000",338.75%,"38,200",19.38%,"34,500"
대신밸런스스팩4호,2017/03/03,-,%,"2,000",%,"2,000",0%,"1,990"
에스디생명공학,2017/03/02,349,0.00%,"12,000",-97.09%,"15,200",26.67%,"12,200"
신신제약,2017/02/28,-,%,"4,500",%,"6,170",37.11%,"8,020"
에프엔에스테크,2017/02/27,-,%,"14,000",%,"17,050",21.79%,"17,450"
모바일어플라이언스,2017/02/24,-,%,"3,500",%,"5,900",68.57%,"5,980"
신한스팩3호,2017/02/23,-,%,"2,000",%,"2,010",0.5%,"1,980"
피씨엘,2017/02/23,-,%,"8,000",%,"7,800",-2.5%,"9,160"
호전실업(유가),2017/02/02,-,%,"25,000",%,"24,500",-2%,"24,250"
서플러스글로벌,2017/01/25,-,%,"8,000",%,"8,500",6.25%,"7,140"
유바이오로직스,2017/01/24,-,%,"6,000",%,"5,600",-6.67%,"5,070"
엔에이치스팩11호,2016/12/28,-,%,"2,000",%,"1,990",-0.5%,"1,970"
퓨전데이타,2016/12/21,-,%,"11,500",%,"20,750",80.43%,"19,800"
디에스씨인베스트먼트,2016/12/19,-,%,"1,700",%,"3,400",100%,"3,560"
티에스인베스트먼트,2016/12/15,-,%,"1,300",%,"1,470",13.08%,"1,910"
마이크로프랜드,2016/12/12,-,%,"7,300",%,"6,570",-10%,"5,950"
코썬바이오,2016/12/09,-,%,"7,000",%,"6,300",-10%,"5,090"
애니젠,2016/12/07,"14,790",-1.40%,"18,000",-17.83%,"17,800",-1.11%,"12,600"
유니온커뮤니티,2016/12/07,-,%,"5,000",%,"4,465",-10.7%,"3,340"
신라젠,2016/12/06,"4,830",-1.33%,"15,000",-67.8%,"13,500",-10%,"12,850"
핸즈코퍼레이션(유가),2016/12/02,"3,170",-0.16%,"12,000",-73.58%,"10,800",-10%,"9,100"
IBKS스팩5호,2016/12/02,-,%,"2,000",%,"2,000",0%,"1,990"
퓨쳐켐,2016/12/01,-,%,"15,000",%,"15,750",5%,"11,050"
오션브릿지,2016/12/01,-,%,"6,600",%,"7,730",17.12%,"6,700"
엘앤케이바이오,2016/11/30,-,%,"15,000",%,"15,750",5%,"11,900"
뉴파워프라즈마,2016/11/30,-,%,"17,500",%,"17,500",0%,"16,800"
에이치엔티일렉트로닉스,2016/11/28,-,%,"10,000",%,"12,100",21%,"10,550"
핸디소프트,2016/11/24,-,%,"5,600",%,"8,180",46.07%,"7,220"
두산밥캣(유가),2016/11/18,-,%,"30,000",%,"36,000",20%,"35,900"
에스케이스팩3호,2016/11/16,-,%,"2,000",%,"2,050",2.5%,"2,010"
삼성바이오로직스(유가),2016/11/10,"794,000",-0.87%,"136,000",483.82%,"135,000",-0.74%,"144,000"
클리오,2016/11/09,-,%,"41,000",%,"39,950",-2.56%,"36,800"
오가닉티코스메틱,2016/11/04,-,%,"4,000",%,"6,510",62.75%,"5,730"
로고스바이오시스템스,2016/11/03,-,%,"25,500",%,"25,500",0%,"21,350"
아이비케이에스지엠비스팩,2016/11/02,-,%,"2,000",%,"2,050",2.5%,"2,000"
인크로스,2016/10/31,-,%,"43,000",%,"67,700",57.44%,"47,400"
코스메카코리아,2016/10/28,-,%,"54,000",%,"71,400",32.22%,"62,500"
에이치엘사이언스(구.건강사랑),2016/10/28,-,%,"27,000",%,"38,400",42.22%,"38,200"
제이더블유생명과학(유가),2016/10/27,"14,930",2.68%,"30,000",-50.23%,"33,050",10.17%,"42,950"
그레이트리치과기,2016/10/25,-,%,"5,000",%,"5,000",0%,"6,500"
금세기차륜(골든센츄리),2016/10/19,-,%,"3,500",%,"4,005",14.43%,"3,815"
인텔리안테크놀로지스,2016/10/18,-,%,"19,000",%,"18,750",-1.32%,"17,050"
에이치시티,2016/10/17,-,%,"17,000",%,"19,500",14.71%,"17,550"
잉글우드랩,2016/10/14,-,%,"6,000",%,"8,360",39.33%,"7,300"
앤디포스,2016/10/12,-,%,"14,500",%,"17,500",20.69%,"18,800"
수산아이앤티(구.플러스기술),2016/10/11,-,%,"11,500",%,"11,500",0%,"14,950"
미투온,2016/10/10,-,%,"3,800",%,"3,420",-10%,"4,445"
화승엔터프라이즈(유가),2016/10/04,-,%,"15,000",%,"13,500",-10%,"14,950"
케이비스팩10호,2016/09/29,-,%,"2,000",%,"2,000",0%,"2,005"
엘에스전선아시아(유가),2016/09/22,-,%,"8,000",%,"7,200",-10%,"6,350"
모두투어리츠(유가),2016/09/22,-,%,"6,000",%,"5,700",-5%,"5,230"
유니테크노,2016/09/20,-,%,"10,300",%,"12,750",23.79%,"11,400"
교보비엔케이스팩,2016/09/08,-,%,"2,000",%,"2,100",5%,"1,990"
하나금융스팩8호,2016/09/08,-,%,"2,000",%,"2,010",0.5%,"1,995"
자이글,2016/09/06,-,%,"11,000",%,"13,600",23.64%,"12,900"
헝셩그룹,2016/08/18,-,%,"3,600",%,"3,240",-10%,"2,690"
에코마케팅,2016/08/08,"10,780",3.06%,"35,000",-69.2%,"68,000",94.29%,"47,600"
팍스넷,2016/08/01,-,%,"5,200",%,"10,400",100%,"12,550"
두올(유가),2016/07/29,-,%,"8,500",%,"8,190",-3.65%,"7,060"
엔지스테크널러지,2016/07/28,-,%,"10,000",%,"19,000",90%,"24,700"
우리손에프앤지,2016/07/27,-,%,"2,210",%,"4,000",81%,"2,910"
옵토팩,2016/07/20,-,%,"5,900",%,"6,210",5.25%,"8,070"
장원테크,2016/07/15,-,%,"17,500",%,"22,250",27.14%,"17,150"
대유위니아(구.위니아만도),2016/07/14,-,%,"6,800",%,"7,900",16.18%,"7,670"
한국자산신탁(유가),2016/07/13,-,%,"10,300",%,"9,900",-3.88%,"9,600"
바이오리더스,2016/07/07,-,%,"15,000",%,"17,100",14%,"14,200"
피앤씨테크,2016/07/04,-,%,"10,200",%,"11,000",7.84%,"10,350"
로스웰,2016/06/30,-,%,"3,200",%,"3,915",22.34%,"3,415"
해성디에스(유가),2016/06/24,-,%,"12,000",%,"16,700",39.17%,"14,600"
녹십자랩셀,2016/06/23,-,%,"18,500",%,"37,000",100%,"48,100"
에스티팜,2016/06/23,-,%,"29,000",%,"47,000",62.07%,"48,800"
한국스팩4호,2016/06/22,-,%,"2,000",%,"1,950",-2.5%,"1,930"
알엔투테크놀로지,2016/06/22,-,%,"5,800",%,"12,500",115.52%,"8,750"
미래에셋스팩5호,2016/06/09,-,%,"2,000",%,"1,995",-0.25%,"1,935"
용평리조트(유가),2016/05/27,-,%,"7,000",%,"9,000",28.57%,"11,700"
해태제과식품(유가),2016/05/11,"5,780",2.48%,"15,100",-61.72%,"18,960",25.56%,"24,600"
레이언스,2016/04/11,"10,270",-2.84%,"25,000",-58.92%,"23,700",-5.2%,"23,050"
씨엠에스에듀,2016/04/07,-,%,"23,200",%,"26,800",15.52%,"24,950"
동양파일,2016/04/06,-,%,"10,000",%,"9,000",-10%,"9,100"
대림씨엔에스(유가),2016/03/30,-,%,"27,700",%,"24,950",-9.93%,"23,250"
팬젠,2016/03/11,-,%,"16,500",%,"24,900",50.91%,"22,300"
하이에이아이스팩1호,2016/03/08,-,%,"2,000",%,"1,970",-1.5%,"1,945"
에이피위성통신,2016/03/04,-,%,"9,700",%,"12,400",27.84%,"10,750"
IBKS스팩4호,2016/03/02,-,%,"2,000",%,"2,030",1.5%,"1,975"
케이비스팩9호,2016/02/29,-,%,"2,000",%,"1,975",-1.25%,"1,975"
큐리언트,2016/02/29,-,%,"21,000",%,"33,900",61.43%,"39,000"
안트로젠,2016/02/15,"15,350",-1.29%,"24,000",-36.04%,"38,000",58.33%,"39,100"
제이에스코퍼레이션(유가),2016/02/04,-,%,"23,000",%,"39,100",70%,"37,750"
아이엠텍,2016/02/03,-,%,"7,500",%,"8,500",13.33%,"12,350"
유니트론텍,2016/02/02,-,%,"14,000",%,"25,300",80.71%,"24,850"
차이나크리스탈신소재,2016/01/28,-,%,"3,000",%,"4,000",33.33%,"3,870"
한솔씨앤피,2016/01/27,-,%,"13,000",%,"18,950",45.77%,"19,600"
에스와이패널,2015/12/29,-,%,"5,000",%,"4,700",-6%,"6,110"
코리아오토글라스(유가),2015/12/29,-,%,"11,000",%,"11,600",5.45%,"13,600"
코디엠,2015/12/29,-,%,"4,700",%,"7,490",59.36%,"6,100"
잇츠스킨(유가),2015/12/28,-,%,"170,000",%,"172,000",1.18%,"152,000"
육일씨엔에쓰,2015/12/24,-,%,"6,000",%,"6,560",9.33%,"5,160"
휴젤,2015/12/24,-,%,"150,000",%,"199,500",33%,"168,300"
대신밸런스스팩2호,2015/12/24,-,%,"2,000",%,"2,000",0%,"2,000"
이에스브이,2015/12/24,-,%,"10,000",%,"18,500",85%,"13,600"
한국맥널티,2015/12/23,-,%,"8,000",%,"16,000",100%,"13,250"
아진산업,2015/12/22,-,%,"6,500",%,"7,620",17.23%,"6,320"
덱스터,2015/12/22,-,%,"14,000",%,"24,800",77.14%,"28,800"
씨트리,2015/12/21,"13,300",3.02%,"6,500",104.62%,"9,250",42.31%,"12,000"
강스템바이오텍,2015/12/21,-,%,"6,000",%,"7,200",20%,"9,360"
메가엠디,2015/12/18,-,%,"3,000",%,"5,020",67.33%,"3,800"
동부스팩4호,2015/12/18,-,%,"2,000",%,"2,000",0%,"2,005"
파크시스템스,2015/12/17,-,%,"9,000",%,"11,000",22.22%,"8,660"
보광산업,2015/12/17,-,%,"4,000",%,"6,110",52.75%,"6,310"
하나금융스팩7호,2015/12/16,-,%,"2,000",%,"2,010",0.5%,"2,005"
뉴트리바이오텍,2015/12/16,-,%,"21,000",%,"23,000",9.52%,"29,000"
예스티,2015/12/16,-,%,"14,500",%,"15,500",6.9%,"18,000"
멕아이씨에스,2015/12/14,-,%,"4,500",%,"8,000",77.78%,"6,600"
엔에스,2015/12/07,-,%,"8,000",%,"12,950",61.88%,"14,750"
미래테크놀로지,2015/12/01,-,%,"16,100",%,"14,950",-7.14%,"13,700"
세진중공업(유가),2015/11/30,-,%,"3,500",%,"3,495",-0.14%,"3,135"
하이즈항공,2015/11/25,-,%,"18,000",%,"16,200",-10%,"16,800"
엠지메드,2015/11/20,-,%,"40,000",%,"41,000",2.5%,"36,300"
리드,2015/11/20,-,%,"5,100",%,"4,590",-10%,"3,945"
케이디켐,2015/11/19,-,%,"16,000",%,"14,850",-7.19%,"12,500"
매직마이크로,2015/11/19,-,%,"5,500",%,"5,420",-1.45%,"4,850"
네오오토,2015/11/18,-,%,"12,000",%,"11,800",-1.67%,"10,000"
골든브릿지스팩4호,2015/11/18,-,%,"2,000",%,"1,990",-0.5%,"2,000"
케어젠,2015/11/17,-,%,"110,000",%,"101,500",-7.73%,"107,000"
아이진,2015/11/16,-,%,"13,500",%,"12,900",-4.44%,"13,100"
나무가,2015/11/12,-,%,"37,000",%,"33,400",-9.73%,"33,000"
유앤아이,2015/11/12,-,%,"30,000",%,"28,650",-4.5%,"24,350"
금호에이치티(유가),2015/11/11,-,%,"10,000",%,"9,500",-5%,"8,860"
제주항공(유가),2015/11/06,-,%,"30,000",%,"49,500",65%,"48,100"
에이치엠씨스팩3호,2015/11/05,-,%,"2,000",%,"2,020",1%,"2,025"
더블유게임즈,2015/11/04,-,%,"65,000",%,"65,100",0.15%,"62,500"
연우,2015/11/02,-,%,"25,200",%,"28,150",11.71%,"36,550"
키움스팩4호,2015/10/30,-,%,"2,000",%,"2,060",3%,"2,055"
에이티젠,2015/10/23,-,%,"17,000",%,"34,000",100%,"25,800"
현대드림스팩4호,2015/10/22,-,%,"2,000",%,"2,090",4.5%,"2,075"
엑시콘,2015/10/22,-,%,"10,000",%,"10,400",4%,"8,650"
이베스트스팩3호,2015/10/19,-,%,"2,000",%,"2,090",4.5%,"2,085"
에치디프로,2015/10/13,-,%,"8,900",%,"9,580",7.64%,"8,650"
IBKS스팩3호,2015/10/08,-,%,"2,000",%,"2,100",5%,"2,100"
동부스팩3호,2015/10/06,-,%,"2,000",%,"2,105",5.25%,"2,100"
신영해피투모로우2호스팩,2015/10/05,-,%,"2,000",%,"2,090",4.5%,"2,100"
엘아이지넥스원(유가),2015/10/02,-,%,"76,000",%,"68,400",-10%,"72,800"
엔에이치스팩9호,2015/09/25,-,%,"2,000",%,"2,070",3.5%,"2,090"
제너셈,2015/09/25,-,%,"10,500",%,"11,000",4.76%,"10,500"
타이거일렉,2015/09/25,-,%,"6,000",%,"5,720",-4.67%,"7,430"
아이콘트롤스(유가),2015/09/24,-,%,"32,000",%,"31,650",-1.09%,-
동일제강(유가),2015/09/24,-,%,"3,000",%,"3,870",29%,-
인포마크,2015/09/23,-,%,"14,000",%,"25,000",78.57%,"20,100"
유진스팩3호,2015/09/09,-,%,"2,000",%,"2,105",5.25%,"2,100"
한국스팩3호,2015/09/02,-,%,"2,000",%,"2,125",6.25%,"2,160"
케이티비스팩3호,2015/08/28,-,%,"2,000",%,"2,185",9.25%,"2,155"
교보스팩5호,2015/08/27,-,%,"2,000",%,"2,300",15%,"2,190"
웹스,2015/08/24,"2,130",0.95%,"7,200",-70.42%,"11,400",58.33%,"8,000"
에이제이네트웍스(유가),2015/08/21,-,%,"34,300",%,"30,900",-9.91%,"35,500"
현대드림스팩3호,2015/08/21,-,%,"2,000",%,"2,000",0%,"2,165"
파인텍,2015/08/17,-,%,"10,500",%,"21,000",100%,"17,100"
교보스팩4호,2015/08/13,-,%,"2,000",%,"3,365",68.25%,"3,150"
흥국에프엔비,2015/08/07,-,%,"20,000",%,"40,000",100%,"52,000"
미래에셋스팩4호,2015/08/06,-,%,"2,000",%,"3,130",56.5%,"4,065"
케이비스팩8호,2015/08/05,-,%,"2,000",%,"2,370",18.5%,"2,345"
칩스앤미디어,2015/08/05,-,%,"10,500",%,"13,700",30.48%,"16,400"
아시아경제신문사,2015/07/31,-,%,"3,600",%,"3,240",-10%,"4,210"
아이쓰리시스템,2015/07/30,-,%,"36,000",%,"63,000",75%,"58,000"
로지시스,2015/07/29,-,%,"2,500",%,"4,180",67.2%,"5,430"
엘아이지이에스스팩,2015/07/27,-,%,"2,000",%,"2,770",38.5%,"2,220"
파마리서치프로덕트,2015/07/24,-,%,"55,000",%,"110,000",100%,"114,500"
에스케이스팩2호,2015/07/23,-,%,"2,000",%,"2,140",7%,"2,150"
펩트론,2015/07/22,-,%,"16,000",%,"32,000",100%,"41,600"
한화에이스스팩2호,2015/07/20,-,%,"2,000",%,"2,125",6.25%,"2,160"
이노션(유가),2015/07/17,-,%,"68,000",%,"66,500",-2.21%,"60,500"
유안타스팩2호,2015/07/17,-,%,"2,000",%,"2,125",6.25%,"2,140"
키움스팩3호,2015/07/10,-,%,"2,000",%,"2,110",5.5%,"2,115"
토니모리(유가),2015/07/10,-,%,"32,000",%,"64,000",100%,"50,500"
미래에셋생명보험(유가),2015/07/08,-,%,"7,500",%,"7,400",-1.33%,"7,240"
골든브릿지스팩3호,2015/06/30,-,%,"2,000",%,"2,035",1.75%,"2,050"
동운아나텍,2015/06/30,-,%,"10,000",%,"12,500",25%,"12,800"
유테크,2015/06/30,-,%,"9,000",%,"12,550",39.44%,"10,850"
엔에이치스팩8호,2015/06/30,-,%,"2,000",%,"2,080",4%,"2,110"
민앤지,2015/06/30,-,%,"28,000",%,"56,000",100%,"44,850"
경보제약(유가),2015/06/29,-,%,"15,000",%,"30,000",100%,"34,250"
에스엔텍,2015/06/26,-,%,"6,500",%,"10,000",53.85%,"13,000"
코아스템,2015/06/26,-,%,"16,000",%,"32,000",100%,"41,600"
이베스트스팩2호,2015/06/26,-,%,"2,000",%,"2,020",1%,"2,055"
세미콘라이트,2015/06/25,-,%,"11,300",%,"11,500",1.77%,"14,950"
에스케이디앤디(유가),2015/06/23,-,%,"26,000",%,"52,000",100%,"67,600"
베셀,2015/06/19,-,%,"9,000",%,"13,400",48.89%,"10,400"
대신밸런스스팩1호,2015/06/18,-,%,"2,000",%,"2,025",1.25%,"2,015"
하나머스트스팩5호,2015/06/18,-,%,"2,000",%,"2,025",1.25%,"2,030"
싸이맥스,2015/06/17,-,%,"16,300",%,"15,200",-6.75%,"14,000"
하이스팩3호,2015/06/16,-,%,"2,000",%,"2,020",1%,"2,020"
픽셀플러스,2015/06/12,-,%,"30,000",%,"27,000",-10%,"29,000"
엔에이치스팩7호,2015/06/12,-,%,"2,000",%,"2,130",6.5%,"2,125"
한화에이씨피씨스팩,2015/06/10,-,%,"2,000",%,"2,155",7.75%,"2,120"
제노포커스,2015/05/29,-,%,"11,000",%,"22,000",100%,"25,300"
미래에셋스팩3호,2015/05/22,-,%,"2,000",%,"2,255",12.75%,"2,230"
대우스팩3호,2015/05/19,-,%,"2,000",%,"2,600",30%,"2,400"
한화엠지아이스팩,2015/05/18,-,%,"2,000",%,"2,900",45%,"2,465"
